Date,XOM_Close,XOM_Volume,Crude_Close,Crude_Volume,XLE
5/17/2001,44.365002,11597600,28.91,45148,33.970001
5/18/2001,45.099998,14289200,29.91,44887,34.68
5/21/2001,44.375,12277800,29.98,41589,34.599998
5/22/2001,44.404999,11800600,29.74,41589,34.25
5/23/2001,43.634998,12371000,29.58,66072,33.73
5/24/2001,43.965,8676800,28.41,115754,33.669998
5/25/2001,44.049999,9276600,28.38,50983,33.380001
5/29/2001,43.900002,12247200,28.66,58861,33.330002
5/30/2001,44.435001,16315800,28.55,65023,33.200001
5/31/2001,44.375,11855800,28.37,101694,33.549999
6/1/2001,44.474998,7832400,27.93,75150,33.400002
6/4/2001,45.415001,9830600,28.13,74230,33.849998
6/5/2001,45.775002,12484800,28.24,60554,33.950001
6/6/2001,44.700001,15883600,27.72,100545,33.09
6/7/2001,44.59,12797600,27.75,59703,32.700001
6/8/2001,44.695,8796400,28.33,47763,32.790001
6/11/2001,44.849998,10153000,29.04,85621,32.880001
6/12/2001,45.060001,10999400,29.18,62998,33.130001
6/13/2001,44.990002,8818600,28.84,78197,32.970001
6/14/2001,44.424999,9028000,29.04,62964,32.299999
6/15/2001,44.450001,22961200,28.51,58361,32.389999
6/18/2001,44.25,9187600,27.55,50059,32.029999
6/19/2001,44.185001,8804800,27.48,57940,32
6/20/2001,43.865002,12691800,26.5,44471,31.4
6/21/2001,44.205002,14991800,26.58,44471,30.93
6/22/2001,44.455002,11417800,26.83,73342,31.530001
6/25/2001,44.259998,10308200,27.25,57677,31.16
6/26/2001,44.279999,10318400,26.98,63048,31.35
6/27/2001,43.610001,11581600,25.61,109855,30.6
6/28/2001,43.41,15586800,25.56,89642,29.950001
6/29/2001,43.674999,15372000,26.25,86303,30.35
7/2/2001,43.849998,11477400,25.95,77415,30.27
7/3/2001,43.669998,6655000,26.24,53665,30.23
7/5/2001,43.5,10128400,27.02,70236,30.5
7/6/2001,43.400002,9679400,28.21,97108,30.389999
7/9/2001,43.360001,9224600,27.59,91890,29.959999
7/10/2001,42.880001,10404600,27.49,67953,30
7/11/2001,42.474998,13727600,27.11,78818,29.6
7/12/2001,42.724998,9642400,26.8,80397,29.559999
7/13/2001,42.990002,9135800,26.59,70344,29.67
7/16/2001,42.994999,9728200,26.06,73134,29.18
7/17/2001,42.650002,11735400,25.57,78904,29.049999
7/18/2001,42.125,18791200,24.89,57541,28.74
7/19/2001,43.080002,11467400,24.7,58286,29.040001
7/20/2001,43.360001,11197100,25.59,58286,29.66
7/23/2001,42.5,9599700,26.12,53982,29.32
7/24/2001,40.970001,14718900,26.31,55610,28.27
7/25/2001,42.130001,11584800,26.84,77274,29.58
7/26/2001,42.720001,10422700,26.73,59381,30.18
7/27/2001,42.73,8373800,27.02,78320,30.32
7/30/2001,42.41,6948900,26.63,41537,30.35
7/31/2001,41.759998,11069300,26.35,52462,30
8/1/2001,41.599998,8070600,26.77,72772,29.889999
8/2/2001,41.73,8630400,27.71,82555,29.870001
8/3/2001,41.259998,8845300,27.62,53006,29.42
8/6/2001,40.849998,8385200,27.74,37371,29.379999
8/7/2001,41.380001,8982400,27.94,68661,29.379999
8/8/2001,41.25,9474300,27.54,65167,28.780001
8/9/2001,40.950001,8303300,27.64,50368,28.950001
8/10/2001,41.349998,8975300,28.05,70358,28.98
8/13/2001,41.400002,6982100,27.82,52473,29.120001
8/14/2001,41.150002,8049700,28.01,48980,29.280001
8/15/2001,41.5,9303000,27.56,79697,29.719999
8/16/2001,41.290001,7555000,27.4,70918,29.549999
8/17/2001,40.470001,8613200,26.68,61936,29.33
8/20/2001,40.75,9529300,27.18,53562,29.120001
8/21/2001,40.389999,7801500,27.91,53562,29.1
8/22/2001,40.709999,9659400,26.37,93777,29.120001
8/23/2001,40.889999,7192000,26.63,59594,29.379999
8/24/2001,41.700001,6682200,26.9,79958,29.620001
8/27/2001,41.049999,6147100,26.67,58962,29.58
8/28/2001,40.509998,6595400,27.17,71885,29.27
8/29/2001,40.380001,8114500,27.05,81961,29.15
8/30/2001,40.150002,10675800,26.55,54164,28.73
8/31/2001,40.150002,7608200,27.2,47548,28.73
9/4/2001,40.75,9245400,26.93,55640,28.9
9/5/2001,41.220001,9563600,26.95,60595,29
9/6/2001,40.900002,10297800,27.58,87936,28.799999
9/7/2001,40.900002,10107800,28.03,98291,28.780001
9/10/2001,41.240002,10776100,27.63,68191,28.870001
9/17/2001,40.150002,16657100,28.81,101804,28.280001
9/18/2001,39.48,10088000,27.7,69950,26.91
9/19/2001,38.41,15398700,26.72,93873,25.940001
9/20/2001,37.02,12957600,26.59,93873,25.209999
9/21/2001,35.830002,21352100,25.97,97581,25.08
9/24/2001,35.860001,14025500,22.01,108959,24.42
9/25/2001,36.279999,15554700,21.81,90612,24.15
9/26/2001,36.009998,11499000,22.38,82366,23.98
9/27/2001,38.419998,13313100,22.74,56833,24.93
9/28/2001,39.400002,14064200,23.43,60169,25.82
10/1/2001,39.09,10035100,23.17,50970,25.459999
10/2/2001,39.990002,10912800,22.79,42332,26.02
10/3/2001,39.84,12929300,22.08,60413,26.379999
10/4/2001,40.580002,12016200,22.63,56132,27
10/5/2001,40.689999,11435000,22.39,57970,27.200001
10/8/2001,40.939999,8799500,22.45,51267,27.25
10/9/2001,41.060001,7209300,22.48,46246,27.299999
10/10/2001,42.279999,10453500,22.53,49156,28.51
10/11/2001,42.09,10752400,23.34,63486,28.5
10/12/2001,42.290001,11408000,22.5,93048,28.309999
10/15/2001,41.650002,6662000,22.29,51155,27.790001
10/16/2001,41.75,6859800,22,46494,28.120001
10/17/2001,41.439999,8573900,21.81,56738,27.98
10/18/2001,40.400002,9571200,21.31,51313,26.85
10/19/2001,40.540001,11638600,21.83,64820,26.950001
10/22/2001,41.119999,7325300,21.76,64820,27.280001
10/23/2001,40.869999,9007100,21.85,64155,27.18
